diff	lwr	upr	p adj	location	day	ad_metric	q.value
ther-ctrl67	-24.1722615	-61.4169347243914	13.0724117243914	0.259125602275199	ic	7	ace	0.634593311694364
ther-sub67	17.9886802	-19.2559930243914	55.2333534243914	0.464820568252036	ic	7	ace	0.853752064136392
sub-ctrl68	-1.7380957	-3.80947459478394	0.333283194783939	0.112887159794833	ic	7	invsimpson	0.351652661832803
ther-ctrl68	-1.4935251	-3.56490399478394	0.577853794783939	0.19271075191302	ic	7	invsimpson	0.513895338434721
ther-sub68	0.2445706	-1.82680829478394	2.31594949478394	0.953936527232036	ic	7	invsimpson	0.999999984904248
sub-ctrl69	-0.4821365	-0.95366992270962	-0.010603077290379	0.0443166265204923	ic	7	shannon	0.245445931498111
ther-ctrl69	-0.3446688	-0.816202222709621	0.126864622709621	0.184661835188015	ic	7	shannon	0.496106422893174
ther-sub69	0.1374677	-0.334065722709621	0.60900112270962	0.752234681840756	ic	7	shannon	0.999999984904248
sub-ctrl70	-32.8076923076923	-88.7528460188666	23.137461403482	0.329362308365186	ic	78	sobs	0.714279704888355
ther-ctrl70	-31.125	-94.2151396365213	31.9651396365214	0.451168246558645	ic	78	sobs	0.840442488359895
ther-sub70	1.68269230769232	-58.0845485644871	61.4499331798718	0.997328291665629	ic	78	sobs	0.999999984904248
sub-ctrl71	-42.4356954076923	-116.263042326616	31.3916515112312	0.343433014159132	ic	78	chao	0.728431008233535
ther-ctrl71	-46.372020225	-129.628161590797	36.8841211407972	0.365662431434929	ic	78	chao	0.747994180324556
ther-sub71	-3.93632481730771	-82.8074429312601	74.9347932966447	0.991630302004675	ic	78	chao	0.999999984904248
sub-ctrl72	-40.3683372384615	-104.424179984732	23.6875055078087	0.279632964220677	ic	78	ace	0.65439667057034
ther-ctrl72	-43.788985325	-116.025663487706	28.4476928377064	0.306272544495269	ic	78	ace	0.684833018747184
ther-sub72	-3.42064808653844	-71.8526878383945	65.0113916653177	0.991604325058064	ic	78	ace	0.999999984904248
sub-ctrl73	-2.69956731538462	-6.94171376970141	1.54257913893218	0.273052689166373	ic	78	invsimpson	0.646703737499305
ther-ctrl73	-2.346334575	-7.13026301933214	2.43759386933214	0.455239681194943	ic	78	invsimpson	0.840442488359895
ther-sub73	0.353232740384616	-4.17873065825329	4.88519613902253	0.979719144373332	ic	78	invsimpson	0.999999984904248
sub-ctrl74	-0.545598884615385	-1.18048746480684	0.0892896955760683	0.102620309026211	ic	78	shannon	0.328467498052818
ther-ctrl74	-0.483916125	-1.19988893981615	0.232056689816148	0.233357041635329	ic	78	shannon	0.58747227264838
ther-sub74	0.0616827596153848	-0.616580435355862	0.739945954586631	0.972499492740973	ic	78	shannon	0.999999984904248
sub-ctrl75	13.5384615384615	-39.2106026760632	66.2875257529862	0.800803324386646	ic	84	sobs	0.999999984904248
ther-ctrl75	-22.8333333333333	-87.5933398515852	41.9266731849185	0.659827563951964	ic	84	sobs	0.999999984904248
ther-sub75	-36.3717948717949	-98.2662888641449	25.5226991205552	0.326031024386883	ic	84	sobs	0.714279704888355
sub-ctrl76	9.21931400769229	-58.3294711044918	76.7680991198763	0.938714477819213	ic	84	chao	0.999999984904248
ther-ctrl76	-28.7430376333333	-111.672655993473	54.1865807268063	0.668974570198824	ic	84	chao	0.999999984904248
ther-sub76	-37.9623516410256	-117.222485191706	41.2977819096543	0.469449808228465	ic	84	chao	0.857877822143388
sub-ctrl77	15.3041443923077	-45.5744388169893	76.1827276016047	0.808000549772417	ic	84	ace	0.999999984904248
ther-ctrl77	-23.4583969666667	-98.1990109313486	51.2822169980153	0.718443113021281	ic	84	ace	0.999999984904248
ther-sub77	-38.7625413589744	-110.196019067439	32.6709363494902	0.382068326767479	ic	84	ace	0.7617956509882
sub-ctrl78	0.407804484615384	-0.64197905733836	1.45758802656913	0.60481108728546	ic	84	invsimpson	0.989690870103481
